"Plot Title: Temp1"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 21022943, SEN S/N: 21022943)","Intensity, lum/ft² (LGR S/N: 21022943, SEN S/N: 21022943)","Coupler Attached (LGR S/N: 21022943)","Coupler Detached (LGR S/N: 21022943)","End Of File (LGR S/N: 21022943)"
341,11/20/2021 12:12:21 AM,36.531,0.0,,,
342,11/20/2021 02:12:21 AM,36.338,0.0,,,
343,11/20/2021 04:12:21 AM,36.338,0.0,,,
344,11/20/2021 06:12:21 AM,36.338,0.0,,,
345,11/20/2021 08:12:21 AM,36.338,0.0,,,
346,11/20/2021 10:12:21 AM,36.531,0.0,,,
347,11/20/2021 12:12:21 PM,36.723,0.0,,,
348,11/20/2021 02:12:21 PM,37.297,0.0,,,
349,11/20/2021 04:12:21 PM,37.870,0.0,,,
350,11/20/2021 06:12:21 PM,38.440,0.0,,,
351,11/20/2021 08:12:21 PM,38.629,0.0,,,
352,11/20/2021 10:12:21 PM,38.629,0.0,,,
353,11/21/2021 12:12:21 AM,38.440,0.0,,,
354,11/21/2021 02:12:21 AM,38.250,0.0,,,
355,11/21/2021 04:12:21 AM,38.250,0.0,,,
356,11/21/2021 06:12:21 AM,38.250,0.0,,,
357,11/21/2021 08:12:21 AM,38.061,0.0,,,
358,11/21/2021 10:12:21 AM,37.679,0.0,,,
359,11/21/2021 12:12:21 PM,37.679,0.0,,,
360,11/21/2021 02:12:21 PM,37.870,0.0,,,
361,11/21/2021 04:12:21 PM,38.440,0.0,,,
362,11/21/2021 06:12:21 PM,38.818,0.0,,,
363,11/21/2021 08:12:21 PM,38.629,0.0,,,
364,11/21/2021 10:12:21 PM,38.250,0.0,,,
365,11/22/2021 12:12:21 AM,37.679,0.0,,,
366,11/22/2021 02:12:21 AM,37.297,0.0,,,
367,11/22/2021 04:12:21 AM,36.914,0.0,,,
368,11/22/2021 06:12:21 AM,36.723,0.0,,,
369,11/22/2021 08:12:21 AM,36.531,0.0,,,
370,11/22/2021 10:12:21 AM,36.338,0.0,,,
371,11/22/2021 12:12:21 PM,36.338,0.0,,,
372,11/22/2021 02:12:21 PM,36.531,0.0,,,
373,11/22/2021 04:12:21 PM,37.297,0.0,,,
374,11/22/2021 06:12:21 PM,38.061,0.0,,,
375,11/22/2021 08:12:21 PM,38.250,0.0,,,
376,11/22/2021 10:12:21 PM,38.061,0.0,,,
377,11/23/2021 12:12:21 AM,37.488,0.0,,,
378,11/23/2021 02:12:21 AM,36.914,0.0,,,
379,11/23/2021 04:12:21 AM,36.338,0.0,,,
380,11/23/2021 06:12:21 AM,36.145,0.0,,,
381,11/23/2021 08:12:21 AM,35.951,0.0,,,
